1m_metadata,1m_den_x,1m_den_y,1m_den_z0,1m_iter_x,1m_iter_y,1m_iter_z0,1m_perf_x,1m_perf_y,1m_perf_z0,1m_perf_z1,1m_dt_x,1m_dt_y,2m_metadata,2m_den_x,2m_den_y,2m_den_z0,2m_iter_x,2m_iter_y,2m_iter_z0,2m_perf_x,2m_perf_y,2m_perf_z0,2m_perf_z1,2m_dt_x,2m_dt_y,3m_metadata,3m_den_x,3m_den_y,3m_den_z0,3m_iter_x,3m_iter_y,3m_iter_z0,3m_perf_x,3m_perf_y,3m_perf_z0,3m_perf_z1,3m_dt_x,3m_dt_y,4m_metadata,4m_den_x,4m_den_y,4m_den_z0,4m_iter_x,4m_iter_y,4m_iter_z0,4m_perf_x,4m_perf_y,4m_perf_z0,4m_perf_z1,4m_dt_x,4m_dt_y,5m_metadata,5m_den_x,5m_den_y,5m_den_z0,5m_iter_x,5m_iter_y,5m_iter_z0,5m_perf_x,5m_perf_y,5m_perf_z0,5m_perf_z1,5m_dt_x,5m_dt_y,6m_metadata,6m_den_x,6m_den_y,6m_den_z0,6m_iter_x,6m_iter_y,6m_iter_z0,6m_perf_x,6m_perf_y,6m_perf_z0,6m_perf_z1,6m_dt_x,6m_dt_y,7m_metadata,7m_den_x,7m_den_y,7m_den_z0,7m_iter_x,7m_iter_y,7m_iter_z0,7m_perf_x,7m_perf_y,7m_perf_z0,7m_perf_z1,7m_dt_x,7m_dt_y,8m_metadata,8m_den_x,8m_den_y,8m_den_z0,8m_iter_x,8m_iter_y,8m_iter_z0,8m_perf_x,8m_perf_y,8m_perf_z0,8m_perf_z1,8m_dt_x,8m_dt_y,9m_metadata,9m_den_x,9m_den_y,9m_den_z0,9m_iter_x,9m_iter_y,9m_iter_z0,9m_perf_x,9m_perf_y,9m_perf_z0,9m_perf_z1,9m_dt_x,9m_dt_y
N_part:30420,0.0001999999949475,1.1989365020781406e-06,1.624808305678016e-07,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0112161010984598,0.0113942120014612,0.0001999999949475,9.999999747378752e-05,N_part:59319,0.0001999999949475,1.1805517488028272e-06,8.912721938258984e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0252814549319429,0.0265803788060825,0.0001999999949475,9.999999747378752e-05,N_part:89739,0.0001999999949475,1.2243565379321808e-06,6.29717646916106e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0190306489763597,0.0202698018688133,0.0001999999949475,9.999999747378752e-05,N_part:120159,0.0001999999949475,1.1834009683298063e-06,7.99210368995773e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0161670538984249,0.0170399765254935,0.0001999999949475,9.999999747378752e-05,N_part:150579,0.0001999999949475,1.1787846005972824e-06,6.167103094867343e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0140271059700941,0.0148404648911159,0.0001999999949475,9.999999747378752e-05,N_part:180999,0.0001999999949475,1.1885987305504386e-06,5.7519635277003545e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0123279858926981,0.013090798555861,0.0001999999949475,9.999999747378752e-05,N_part:211419,0.0001999999949475,1.158917029897566e-06,5.0971017628853594e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0108321022526015,0.0115269486616848,0.0001999999949475,9.999999747378752e-05,N_part:241839,0.0001999999949475,1.1531268455655663e-06,3.1223834184856976e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0089190430877037,0.0094441379791023,0.0001999999949475,9.999999747378752e-05,N_part:272259,0.0001999999949475,1.1488094742162502e-06,2.9279004110094323e-08,0.0001999999949475,3,0,0.0001999999949475,0.0,0.00919554118462,0.0099008812862561,0.0001999999949475,9.999999747378752e-05
,0.0685735493898391,5.365581455407664e-05,-0.0002855200727935,0.0685735493898391,3.0,0.0,0.0685735493898391,0.0799988317485697,0.043715906006441,0.0481377707959945,0.0685735493898391,0.0002332655421923,,0.0979608222842216,0.0001240327837876,-0.0002844756236299,0.0979608222842216,3.0,0.0,0.0979608222842216,0.0759628632836874,0.0449803075137419,0.0491596979515267,0.0979608222842216,0.0003281443205196,,0.0593966469168663,9.422701987205072e-05,-0.0001600512332515,0.0593966469168663,3.0,0.0,0.0593966469168663,0.040310697987151,0.0244528408365274,0.026497057991196,0.0593966469168663,0.0001746796624502,,0.0800639763474464,0.0001608019229024,-0.0001443066284991,0.0800639763474464,3.0,0.0,0.0800639763474464,0.0444421034584969,0.0303157930789093,0.0329715200521877,0.0800639763474464,0.0002252232079626,,0.1043061167001724,0.0004721309815067,-5.619617877528072e-05,0.1043061167001724,3.0,0.0,0.1043061167001724,0.049057037966098,0.032316924961136,0.0349958074513959,0.1043061167001724,0.0002801796654239,,0.0957409292459487,0.0005900399992242,2.6034602342406288e-05,0.0957409292459487,3.0,0.0,0.0957409292459487,0.0408224907607918,0.0230951395220729,0.0248797064061267,0.0957409292459487,0.0002893148339353,,0.1275047063827514,0.0012862528674304,0.0002455216890666,0.1275047063827514,3.0,0.0,0.1275047063827514,0.0438665392052377,0.0279342291454562,0.0301620165073399,0.1275047063827514,0.000389210297726,,0.0808210223913192,0.0004552112950477,2.662568113009911e-05,0.0808210223913192,3.0,0.0,0.0808210223913192,0.0244789449621985,0.0145444010013822,0.015656366931987,0.0808210223913192,0.0002469206228852,,0.1071013361215591,0.0011551768984645,0.0002767272817436,0.1071013361215591,3,0,0.1071013361215591,0.0322248118941703,0.0195954146732788,0.0212412462304756,0.1071013361215591,0.0003218795754946
,0.2339917123317718,0.0001786600623745,-0.0003637411573436,0.2339917123317718,3.0,0.0,0.2339917123317718,0.1691421459499356,0.0779847599334748,0.0872325612680214,0.2339917123317718,0.0004511876904871,,0.3014408051967621,0.0003907792270183,-0.0002929895708803,0.3014408051967621,3.0,0.0,0.3014408051967621,0.1344526760443155,0.0745598861530178,0.0813334343039327,0.3014408051967621,0.0005049784085713,,0.1859721839427948,0.0003198013291694,-0.0002393171744188,0.1859721839427948,3.0,0.0,0.1859721839427948,0.0748069062006313,0.0391022998239213,0.0423764352285899,0.1859721839427948,0.0003379333938937,,0.2198715060949325,0.0004836566804442,-9.159217006526887e-05,0.2198715060949325,3.0,0.0,0.2198715060949325,0.0664958790444412,0.0379236503438646,0.0411358312356132,0.2198715060949325,0.0003498751902952,,0.2842147648334503,0.0007962969830259,0.0001230340567417,0.2842147648334503,3.0,0.0,0.2842147648334503,0.0734735362075959,0.0444838887936615,0.0482331999175621,0.2842147648334503,0.0004415306029841,,0.307606965303421,0.0013100409414619,0.000288275827188,0.307606965303421,3.0,0.0,0.307606965303421,0.0647829651682624,0.0372595534945728,0.04014956100832,0.307606965303421,0.0005109427147544,,0.3724956810474396,0.0018736899364739,0.0004967533168382,0.3724956810474396,3.0,0.0,0.3724956810474396,0.0688697073309961,0.0409187104896684,0.0442057582674534,0.3724956810474396,0.0005810200818814,,0.2355824559926986,0.0010751602239906,0.0002146898332284,0.2355824559926986,3.0,0.0,0.2355824559926986,0.038293129383984,0.0219183311255112,0.0236341254033732,0.2355824559926986,0.0003832660440821,,0.3019669651985168,0.0020901975221931,0.0006175540620461,0.3019669651985168,3,0,0.3019669651985168,0.0483582434882767,0.0279312902232192,0.030340799109863,0.3019669651985168,0.0004915141034871
,0.5193189978599548,0.0003705559647642,0.0001057959962054,0.5193189978599548,3.0,0.0,0.5193189978599548,0.2646839250985175,0.1186753022565385,0.1317906178017091,0.5193189978599548,0.0006844228482805,,0.6018460392951965,0.0007956558838486,0.0002408829313935,0.6018460392951965,3.0,0.0,0.6018460392951965,0.2013055547237441,0.1040264214049998,0.1132736956021825,0.6018460392951965,0.0007208618917502,,0.3860815167427063,0.0005610981024801,8.413170144194737e-05,0.3860815167427063,3.0,0.0,0.3860815167427063,0.1100213598734571,0.0548043719998601,0.05938884972755,0.3860815167427063,0.0004857333260588,,0.4295724928379059,0.000786431657616,0.000179838418262,0.4295724928379059,3.0,0.0,0.4295724928379059,0.0893424712602688,0.0488759594112899,0.0529838852905803,0.4295724928379059,0.0004820960748475,,0.5630635023117065,0.0020744632929563,0.0006281015812419,0.5630635023117065,3.0,0.0,0.5630635023117065,0.1190867603504907,0.0587832417884162,0.0637517299290965,0.5630635023117065,0.0007082607480697,,0.6245664358139038,0.0031010599341243,0.0008427325519733,0.6245664358139038,3.0,0.0,0.6245664358139038,0.099162442690177,0.0504785496909689,0.0544073480566436,0.6245664358139038,0.0007577259093523,,0.702410101890564,0.0030408166348934,0.0009999132016673,0.702410101890564,3.0,0.0,0.702410101890564,0.0756696204990643,0.0519433203238489,0.056128629403823,0.702410101890564,0.0007589619490318,,0.4776696264743805,0.0019289636984467,0.0006189988343976,0.4776696264743805,3.0,0.0,0.4776696264743805,0.058726182393241,0.0306534806537452,0.0331236051447025,0.4776696264743805,0.0005566771724261,,0.5876047611236572,0.0028219535015523,0.0008864537812769,0.5876047611236572,3,0,0.5876047611236572,0.0680119547341824,0.036425077285069,0.0395735769786332,0.5876047611236572,0.0006697836797684
,0.8980931639671326,0.0005131828365847,0.0001961511879926,0.8980931639671326,3.0,0.0,0.8980931639671326,0.3319152018449021,0.1589009202847262,0.1757378915284143,0.8980931639671326,0.0008518120157532,,1.0030922889709473,0.0011766252573579,0.0004432441201061,1.0030922889709473,3.0,0.0,1.0030922889709473,0.2611331878516179,0.1339681064661893,0.1457074072381386,1.0030922889709473,0.0008974284282885,,0.684085488319397,0.0011441956739872,0.0003970924590248,0.684085488319397,3.0,0.0,0.684085488319397,0.1600476332648531,0.0718207788007187,0.077849260579273,0.684085488319397,0.0007050179410725,,0.7480170726776123,0.0018615785520523,0.0006580257904715,0.7480170726776123,3.0,0.0,0.7480170726776123,0.1420132109085117,0.0635178992014867,0.068876698591038,0.7480170726776123,0.0007632442866452,,0.9627857208251952,0.0027892678044736,0.0009958847658708,0.9627857208251952,3.0,0.0,0.9627857208251952,0.1431878215590263,0.0759674797643126,0.0824066681496937,0.9627857208251952,0.0008458570227958,,1.0205334424972534,0.0028656404465436,0.000999997719191,1.0205334424972534,3.0,0.0,1.0205334424972534,0.1014643134843432,0.0622791691729812,0.0671057463496744,1.0205334424972534,0.0008124781888909,,1.084047794342041,0.0029053282923996,0.0009998466121032,1.084047794342041,3.0,0.0,1.084047794342041,0.0885414655862844,0.0593171201777579,0.0640055838210584,1.084047794342041,0.0007529429276473,,0.8080933094024658,0.002682272111997,0.000999329960905,0.8080933094024658,5.0,0.0,0.8080933094024658,0.0621429769347793,0.038266777957107,0.0413175465491253,0.8080933094024658,0.0007239916594699,,0.930116891860962,0.0028701641131192,0.0009994741994887,0.930116891860962,4,0,0.930116891860962,0.0550348793542854,0.0421844822216399,0.045698558457802,0.930116891860962,0.0006891567027196
,1.3625853061676023,0.0007898378535173,0.0003167373361065,1.3625853061676023,3.0,0.0,1.3625853061676023,0.4195106210736727,0.2005032388168042,0.220870993728097,1.3625853061676023,0.0010308333439752,,1.4879496097564695,0.0018173935823142,0.0006796767702326,1.4879496097564695,3.0,0.0,1.4879496097564695,0.3115505134411679,0.1623418373327701,0.1764412146635135,1.4879496097564695,0.0010451151756569,,1.0728884935379028,0.0017811418510973,0.0006504931370727,1.0728884935379028,3.0,0.0,1.0728884935379028,0.1988921572833653,0.0884364748847051,0.0958602624961587,1.0728884935379028,0.0008936975500546,,1.1814202070236206,0.0026941539254039,0.0009821580024436,1.1814202070236206,3.0,0.0,1.1814202070236206,0.1714081379674774,0.0792661955739786,0.0858676126426816,1.1814202070236206,0.000946749583818,,1.407733678817749,0.0029988640453666,0.0009998894529417,1.407733678817749,14.0,0.0,1.407733678817749,0.160515636405561,0.0886193961525537,0.0960469139584017,1.407733678817749,0.0009219595231115,,1.4205595254898071,0.002474422333762,0.0009982390329241,1.4205595254898071,3.0,0.0,1.4205595254898071,0.0993482575927205,0.0703041181135258,0.0757816473348518,1.4205595254898071,0.0008174202521331,,1.4762802124023438,0.0028936660382896,0.0009999200701713,1.4762802124023438,4.0,0.0,1.4762802124023438,0.0730247152094336,0.0642763081857532,0.0692788528402396,1.4762802124023438,0.0008438097429461,,1.1737852096557615,0.0027715791948139,0.0009999416070058,1.1737852096557615,4.0,0.0,1.1737852096557615,0.0600324503673215,0.0440249106374336,0.0474449124695781,1.1737852096557615,0.0007311250665225,,1.2852675914764404,0.0024616979062557,0.0009993070270866,1.2852675914764404,3,0,1.2852675914764404,0.0629840965590735,0.0456255326997802,0.0493170282798336,1.2852675914764404,0.0007446183008141
,1.9425759315490725,0.0011209669755771,0.0004482757940422,1.9425759315490725,3.0,0.0,1.9425759315490725,0.5269184021316665,0.2451034481266379,0.2691775152994862,1.9425759315490725,0.0012718016514554,,2.0697579383850098,0.0023787140380591,0.0008377280319109,2.0697579383850098,3.0,0.0,2.0697579383850098,0.3791579005903778,0.1896907069537888,0.2062042637889944,2.0697579383850098,0.0012767749140039,,1.5455249547958374,0.0024733066093176,0.0009432716760784,1.5455249547958374,3.0,0.0,1.5455249547958374,0.2302507755502038,0.1060147780002497,0.1149180918509868,1.5455249547958374,0.0010469838744029,,1.671146273612976,0.0027401852421462,0.0009988332167267,1.671146273612976,3.0,0.0,1.671146273612976,0.1714426990199453,0.0933499570298329,0.1010559491036507,1.671146273612976,0.0010230167536064,,1.8710532188415527,0.0027181722689419,0.0009995724540203,1.8710532188415527,4.0,0.0,1.8710532188415527,0.1472328929808692,0.0974136875240724,0.1054696580508771,1.8710532188415527,0.0009152055135928,,1.834260106086731,0.0024570599198341,0.0009997548768296,1.834260106086731,4.0,0.0,1.834260106086731,0.0966316505613519,0.0748174643058322,0.0805761851927311,1.834260106086731,0.0007954684551805,,1.9005506038665767,0.002706445986405,0.0009999949252232,1.9005506038665767,6.0,0.0,1.9005506038665767,0.0807042926760105,0.0684536621729468,0.0736882386710078,1.9005506038665767,0.0008817791822366,,1.5505948066711426,0.0027269339188933,0.0009998811874538,1.5505948066711426,4.0,0.0,1.5505948066711426,0.0651370145801508,0.0483917696128104,0.0521168864322119,1.5505948066711426,0.00074528780533,,1.6595420837402344,0.0027406506706029,0.0009997127344831,1.6595420837402344,4,0,1.6595420837402344,0.0619666840735827,0.0480838194272601,0.05186317381921,1.6595420837402344,0.0007822036277502
,2.631233930587769,0.0014974124496802,0.0006037090788595,2.631233930587769,3.0,0.0,2.631233930587769,0.6365550960599843,0.2904517995756757,0.3182989455700336,2.631233930587769,0.0015079672448337,,2.7384634017944336,0.0030093861278146,0.0007218513055704,2.7384634017944336,3.0,0.0,2.7384634017944336,0.4229433334506277,0.2166146003111915,0.2351922264036034,2.7384634017944336,0.0013927588006481,,2.1020255088806152,0.0033998389262706,0.0007224172004498,2.1020255088806152,3.0,0.0,2.1020255088806152,0.2698252416020763,0.1253950880676909,0.1358384654009631,2.1020255088806152,0.0011812864104285,,2.1893398761749268,0.002820017747581,0.0009995440486818,2.1893398761749268,4.0,0.0,2.1893398761749268,0.1573551717837865,0.1056060127940396,0.1142332289490986,2.1893398761749268,0.0010233701905235,,2.336562395095825,0.0020794051233679,0.0009859837591648,2.336562395095825,3.0,0.0,2.336562395095825,0.150317282075554,0.1033744004479259,0.1118042838086999,2.336562395095825,0.0009410982020199,,2.24090576171875,0.0027896251995116,0.0009774495847523,2.24090576171875,3.0,0.0,2.24090576171875,0.1096693927644814,0.0781234298038485,0.0840941764503546,2.24090576171875,0.0007913266308605,,2.305363178253174,0.0024491401854902,0.0009997923625633,2.305363178253174,7.0,0.0,2.305363178253174,0.0684851051293521,0.0704319935534729,0.0757384956325274,2.305363178253174,0.000803971895948,,1.9124994277954104,0.0026512029580771,0.0009999191388487,1.9124994277954104,3.0,0.0,1.9124994277954104,0.0629385024213238,0.0518495215509437,0.0558510846691598,1.9124994277954104,0.0006997240125201,,2.058233499526977,0.002691525965929,0.0009999587200582,2.058233499526977,4,0,2.058233499526977,0.0625092193385141,0.0498816226928253,0.053675899179723,2.058233499526977,0.0007653438369743
,3.4428670406341557,0.0022929427213966,0.0009245435358025,3.4428670406341557,3.0,0.0,3.4428670406341557,0.7327776612786788,0.3379380482505958,0.3697450433285492,3.4428670406341557,0.0017196587286889,,3.446762561798096,0.0022706901654601,0.0009496076381765,3.446762561798096,3.0,0.0,3.446762561798096,0.3603093148408385,0.2392282214330418,0.2595563892639571,3.446762561798096,0.0014288835227489,,2.7028775215148926,0.0032288108486682,0.0008093341020867,2.7028775215148926,3.0,0.0,2.7028775215148926,0.2816834057364063,0.1417107304468144,0.1533782495205224,2.7028775215148926,0.0012191305868327,,2.7028071880340576,0.0029553200583904,0.0009963128250092,2.7028071880340576,3.0,0.0,2.7028071880340576,0.1825134280418157,0.112125753817756,0.1211626181015382,2.7028071880340576,0.0009979286696761,,2.820455312728882,0.0027336766943335,0.0009998647728934,2.820455312728882,4.0,0.0,2.820455312728882,0.1434945689847625,0.1081220314506732,0.1168370226204501,2.820455312728882,0.0009891112567856,,2.628905773162842,0.0027194553986191,0.0008413871983066,2.628905773162842,3.0,0.0,2.628905773162842,0.1067806066941129,0.0799839990208869,0.0860465683070558,2.628905773162842,0.0007842442137189,,2.717465400695801,0.0028068197425454,0.0009999672183766,2.717465400695801,5.0,0.0,2.717465400695801,0.0914482703103801,0.0723877301480877,0.0778091254116173,2.717465400695801,0.0008423677063547,,2.2658188343048096,0.0026906267739832,0.0009891631780192,2.2658188343048096,3.0,0.0,2.2658188343048096,0.0787372914046857,0.05429399694531,0.058502095678227,2.2658188343048096,0.0007218585233204,,2.4155867099761963,0.0028426805511116,0.0009997867746278,2.4155867099761963,4,0,2.4155867099761963,0.0616995440221294,0.0509841949118712,0.0548392776003802,2.4155867099761963,0.000690002751071
,4.327259063720703,0.0020059929229319,0.0008526144665665,4.327259063720703,3.0,0.0,4.327259063720703,0.7118529032614682,0.3787670720508259,0.4140934206556683,4.327259063720703,0.0018173668067902,,4.164088249206543,0.0027305975090712,0.0009985092328861,4.164088249206543,3.0,0.0,4.164088249206543,0.4079906716062694,0.2536295083507106,0.275088693827416,4.164088249206543,0.0014388512354344,,3.322721004486084,0.0025582707021385,0.0009992258856073,3.322721004486084,4.0,0.0,3.322721004486084,0.2350011733997642,0.154166491868233,0.1667381410712132,3.322721004486084,0.0012277329806238,,3.206749200820923,0.0027753834147006,0.000999700394459,3.206749200820923,4.0,0.0,3.206749200820923,0.1657833969134156,0.1182574279147744,0.1277686843741936,3.206749200820923,0.0010261349380016,,3.3146469593048096,0.0027885730378329,0.0009861727012321,3.3146469593048096,3.0,0.0,3.3146469593048096,0.1712970332406189,0.1119618303800611,0.1208661307246996,3.3146469593048096,0.0009497514110989,,3.046757698059082,0.0027546712663024,0.0009955229470506,3.046757698059082,3.0,0.0,3.046757698059082,0.1048561993216937,0.0824320626590034,0.0886568220274166,3.046757698059082,0.0008779926574788,,3.132718563079834,0.0027586449868977,0.0009999328758567,3.132718563079834,4.0,0.0,3.132718563079834,0.0847726485949868,0.0743055231973322,0.0798529426896947,3.132718563079834,0.0008396403281949,,2.633208990097046,0.0027084450703114,0.0009934594854712,2.633208990097046,3.0,0.0,2.633208990097046,0.080666142668365,0.0562948702348553,0.0606387373639029,2.633208990097046,0.0007368490914814,,2.7721707820892334,0.0030526437330991,0.0009153186110779,2.7721707820892334,3,0,2.7721707820892334,0.0762351671204834,0.0517208903055784,0.0556061493684387,2.7721707820892334,0.0007401864859275
