0.234m_metadata,0.234m_den_x,0.234m_den_y,0.234m_den_z0,0.234m_iter_x,0.234m_iter_y,0.234m_iter_z0,0.234m_perf_x,0.234m_perf_y,0.234m_perf_z0,0.234m_perf_z1,0.234m_dt_x,0.234m_dt_y,0m_metadata,0m_den_x,0m_den_y,0m_den_z0,0m_iter_x,0m_iter_y,0m_iter_z0,0m_perf_x,0m_perf_y,0m_perf_z0,0m_perf_z1,0m_dt_x,0m_dt_y
N_part:302679,0.0001999999949475,1.15759303298546e-06,2.7498060717334738e-08,0.0001999999949475,3,0,0.0001999999949475,0.0,0.0057992529095722,0.0060759861925478,0.0001999999949475,9.999999747378752e-05,N_part:302679,0.0001999999949475,1.163777028523327e-06,2.7504652777565752e-08,0.0001999999949475,3.0,0.0,0.0001999999949475,0.0,0.0082863183643638,0.0088962981955102,0.0001999999949475,9.999999747378752e-05
warmstart:False,0.0011999998241662,1.2856838111474644e-05,5.44095144050516e-07,0.0011999998241662,3,0,0.0011999998241662,0.0093589469057889,0.0087365204367404,0.0094668124317909,0.0011999998241662,9.999999747378752e-05,warmstart:False,0.0014799487544223,2.1139207092346624e-05,8.92353000381263e-07,0.0014799487544223,3.0,0.0,0.0014799487544223,0.0141487755594393,0.0114723711724212,0.0124553695580795,0.0014799487544223,0.0001335444394499
,0.0021999995224177,2.463855162204709e-05,1.5104251360753551e-06,0.0021999995224177,3,0,0.0021999995224177,0.009683652253084,0.008941485731871,0.0097109214290229,0.0021999995224177,9.999999747378752e-05,,0.0029102694243192,4.5735632738796994e-05,2.870619482564507e-06,0.0029102694243192,3.0,0.0,0.0029102694243192,0.0142541723391662,0.0122378769375043,0.0133061187666225,0.0029102694243192,0.0001565242419019
,0.0032000001519918,3.3080843422794715e-05,2.8567083063535392e-06,0.0032000001519918,3,0,0.0032000001519918,0.0096168613731919,0.0088247185000515,0.0095935461650854,0.0032000001519918,9.999999747378752e-05,,0.0046582939103245,7.894481677794829e-05,6.689705969620263e-06,0.0046582939103245,3.0,0.0,0.0046582939103245,0.0178210837083687,0.0131181110889758,0.0142522147057443,0.0046582939103245,0.0001833742571761
,0.0042000003159046,4.077319681528024e-05,4.572394573187921e-06,0.0042000003159046,3,0,0.0042000003159046,0.0094971196372671,0.0086912716554605,0.0094338349951042,0.0042000003159046,9.999999747378752e-05,,0.0065074278973042,0.0001201816485263,1.2733372386719566e-05,0.0065074278973042,3.0,0.0,0.0065074278973042,0.0179438066831321,0.0139063828766517,0.0151089666749421,0.0065074278973042,0.0001852392160799
,0.0051999986171722,5.095294545753859e-05,6.606582246604376e-06,0.0051999986171722,3,0,0.0051999986171722,0.0093270529305287,0.0085523298349057,0.0092909235595556,0.0051999986171722,9.999999747378752e-05,,0.0086234025657176,0.0001804551429813,2.246595795440953e-05,0.0086234025657176,3.0,0.0,0.0086234025657176,0.0207101146353035,0.0148200348713739,0.0161007977889915,0.0086234025657176,0.0002443316043354
,0.0061999969184398,6.197410402819514e-05,9.085531019081827e-06,0.0061999969184398,3,0,0.0061999969184398,0.0088868512122719,0.0081300038358274,0.008782796718117,0.0061999969184398,9.999999747378752e-05,,0.0112101128324866,0.000288657087367,4.021334461867809e-05,0.0112101128324866,3.0,0.0,0.0112101128324866,0.0261286316937066,0.0161699381332489,0.0175649921829793,0.0112101128324866,0.0002483659482095
,0.0071999952197074,7.354366243816912e-05,1.2229088497406336e-05,0.0071999952197074,3,0,0.0071999952197074,0.0084997610268289,0.0078716239097565,0.0084786302466288,0.0071999952197074,9.999999747378752e-05,,0.0141590703278779,0.0004220153787173,6.881782610435039e-05,0.0141590703278779,3.0,0.0,0.0141590703278779,0.0303498333048662,0.0177128028768477,0.0192396924650147,0.0141590703278779,0.0003196512698195
,0.0082368459552526,8.654269186081365e-05,1.6330644939444028e-05,0.0082368459552526,3,0,0.0082368459552526,0.0085090606660397,0.0079409124200911,0.0085611795920421,0.0082368459552526,0.000118426476547,,0.0172808319330215,0.0005590543732978,0.0001087404598365,0.0172808319330215,3.0,0.0,0.0172808319330215,0.0298848604715988,0.0190773819694455,0.0207227684857079,0.0172808319330215,0.0003159277548547
,0.0094159627333283,0.0001064732059603,2.220679925812874e-05,0.0094159627333283,3,0,0.0094159627333283,0.009582345636431,0.008150718998092,0.0087949180703874,0.0094159627333283,0.0001324292970821,,0.0202484354376792,0.000692669651471,0.0001541513338452,0.0202484354376792,3.0,0.0,0.0202484354376792,0.0275779224897011,0.0199918666211276,0.0217201141540594,0.0202484354376792,0.0003064825141336
